merge_tool;repo_name;merge_commit;runtime
IntelliMerge;gradle;9420a6ce81548b9fa597e9ff1af78f7f4f111e52;28
IntelliMerge;gradle;28c068b20ecdb5756c846fd59e539d54cdce42e4;191
IntelliMerge;gradle;7c76c301854982f4996c03ee54776f9206441511;57
IntelliMerge;gradle;7bbc1ef9a6994fddb2aceaa38543ba870297cb3c;347
IntelliMerge;gradle;5430f66bc278eb1036f33a68af5218a86e833b81;45
JFSTMerge;gradle;4edf06b1492a9869caf94a37324de9b85bd5af3a;1850
JFSTMerge;gradle;86d5b21a9a7844d8c5f9eed2fa46051e9294f401;1270
JFSTMerge;gradle;4461420084365a139547e383da9b1944138983b8;2345
JFSTMerge;gradle;010680616ec315506286d9d969bc05fa8995ff24;800
JFSTMerge;gradle;f7e1fc518b8eaad98e89e6d9f5893fe7bc01fd4d;714
JFSTMerge;gradle;5eb7f6152cad88f994a69821c88ce6a739be1ab3;1561
JFSTMerge;gradle;f463b422dfab34eacdba1237f4c6a5202f503239;1316
JFSTMerge;gradle;e9c838dad6c9eef611aabb9c9a8d1974a000ba5e;582
JFSTMerge;gradle;2f33d6a34a76355fc1ddc784ec4d48b51787021a;4782
JFSTMerge;gradle;ce59878d5d8255f7a256623eec8dca6e7daded0c;1838
JFSTMerge;gradle;1ee48c93883bd5b8252e8a049304845f29d3549b;533
JFSTMerge;gradle;c66229feae0d59bff6327d6053ddcab98bca3074;618
JFSTMerge;gradle;7bfafdff7f3d4f207d8f2a037320a7835c7deea1;804
JFSTMerge;gradle;3b65f8ff745f3751cd903e8a72dae0f8fd43b519;676
JFSTMerge;gradle;ee5af5c41c19b9c3cdad9efb44beeac30044b489;977
JFSTMerge;gradle;9b041cee70bf2f0f7e1e1f4bf7e99861337a614e;504
JFSTMerge;gradle;cab80bac974e4486adf9062a19dd581ce7fdb759;1635
JFSTMerge;gradle;004606d6ef2c9d42d950d5b7b16eb0fcc48de172;478
JFSTMerge;gradle;19e43a0c89eb7a0d74a75fa392dce1745dac99cb;165
JFSTMerge;gradle;85a21b212cf1053faadcae341ad04e51c31ad8ff;448
JFSTMerge;gradle;7f0fc51180ada1c9255afff73098e9cf7c7da253;711
JFSTMerge;gradle;d1cb68a3e34e3f721a7127d693115b9a6b0ee016;318
JFSTMerge;gradle;d92055e3743d00fdbd1d4dbdc611739f3489721a;450
JFSTMerge;gradle;c11316f19bae4f65da1481f7bcc70847b4893f3c;967
JFSTMerge;gradle;d366534d307b9df26ca4fbac9716e7b7e8b3fd7d;1047
JFSTMerge;gradle;5fdda2b7179d7139b142f2e0f3b6fc773d6e4e8d;768
JFSTMerge;gradle;bbf02b3fabc31b924c9c6025296efcc1230a29ae;1152
JFSTMerge;gradle;a422d4ae9047959c3ca2025f287e8387f0d14680;2148
JFSTMerge;gradle;8d3a77d4183ba21ee384e378ebc25b98bb278f0c;248
JFSTMerge;gradle;22455afaa2196fbc51160bf90ff21029daa3f960;268
JFSTMerge;gradle;0b6a326728fb89d992be86cb5bf8712cd1fba3ea;400
JFSTMerge;gradle;210b2d8202b8250b4d99a582dca57706cb2d191a;258
JFSTMerge;gradle;83d6b0a27314e908f2036d4827aa2f2da7daa2f0;740
JFSTMerge;gradle;a16336b9e1dca255e534f8ef0c0442c7164eef97;2325
JFSTMerge;gradle;95c7c0a1b80a9f101204d5ff34593dfaec6c901b;713
JFSTMerge;gradle;ac6284b8e08c16dae154eb393e9c226149324d22;605
JFSTMerge;gradle;02c854d66effda0accc50827497a6950517c4f15;1373
JFSTMerge;gradle;267a9031757cd86de4079793d94b282cf2e7f00f;3335
JFSTMerge;gradle;55758a3071b9c6e1f45c40a827253ce942eb8352;376
JFSTMerge;gradle;10cb3baec04f8e341424b71212740a7589aceafa;719
JFSTMerge;gradle;e3942c8d6a46b5626fae9f0b2b1d95a83b421e58;1151
JFSTMerge;gradle;f171e19bbaea324e78ddff73cfd5f28695b18919;3600
JFSTMerge;gradle;62dd551f2f30f233a22da4b2527840dd0ebc0b73;1930
JFSTMerge;gradle;26ef0e7a4343ee0f0a219278b51e862b3efbad4c;495
JFSTMerge;gradle;5a0f96cfdeefb32697c15baa1821a786846bec30;797
JFSTMerge;gradle;6a8f4568c8c49aed4829c3a915982ed780c3d6dc;521
JFSTMerge;gradle;a57c338c9f1baf6713219f923d4e039438c3deed;1618
JFSTMerge;gradle;29694b6daeba45ef36d9549272269e50f377be7c;610
JFSTMerge;gradle;581672141877ecccd772cfdc6a945b9ba37b738e;277
JFSTMerge;gradle;ed378ce01ad44f5eb5134bbb290ad61a1f989666;344
JFSTMerge;gradle;0f707d3fcb321e539624fcb216aed5b8e95c006a;951
JFSTMerge;gradle;ebd546fe6357e3ffb5523922019163e560708833;716
JFSTMerge;gradle;75165d22a318ff0e73c5615038452dce2c16e04b;1950
JFSTMerge;gradle;599b556be57f28ef7bca9ed6b02e153c155e6ca9;707
JFSTMerge;gradle;9a5f6bcc4391acaede8796f96917775ea25e7fbe;412
JFSTMerge;gradle;8b0552c343fd4bded39a4bfb56d20c75ad6855d5;919
JFSTMerge;gradle;51b52a82e913776efc2d166aff64ceaac7aa207d;248
JFSTMerge;gradle;9420a6ce81548b9fa597e9ff1af78f7f4f111e52;259
JFSTMerge;gradle;28c068b20ecdb5756c846fd59e539d54cdce42e4;1029
JFSTMerge;gradle;7c76c301854982f4996c03ee54776f9206441511;426
JFSTMerge;gradle;7bbc1ef9a6994fddb2aceaa38543ba870297cb3c;1163
JFSTMerge;gradle;5430f66bc278eb1036f33a68af5218a86e833b81;283
IntelliMerge;error-prone;07559b47674594fdf40f2855f83b492f67f9093c;1328
IntelliMerge;error-prone;0e97a336019b2590a5a486cd4d0249a60db36eb7;813
IntelliMerge;error-prone;1a87c33bd18648f484133794840e94bd8d1d4a64;81
IntelliMerge;error-prone;f10f48c87d828881dda9912f050bccf8bb36776c;79
IntelliMerge;error-prone;d51253011690def06db835d5ad605ca134c94d84;93
IntelliMerge;error-prone;66a86d1652c383ea3921d03f49f444f1d1000765;83
JFSTMerge;error-prone;07559b47674594fdf40f2855f83b492f67f9093c;1005
JFSTMerge;error-prone;0e97a336019b2590a5a486cd4d0249a60db36eb7;1760
